+34.741400,-077.366600
+35.138400,-079.447200
+35.445830,-083.063880
+35.477780,-083.004160
+35.462370,-082.528350
+35.409600,-080.609300
+34.717780,-077.342910
+35.049450,-079.020830
+35.063330,-078.845000
+35.208880,-081.528330
+34.892500,-079.837500
+35.625000,-082.434710
+34.900000,-076.891700
+35.231660,-081.218880
+35.786500,-080.916300
+35.559580,-077.074450
+35.126110,-079.406660
+35.272220,-082.411110
+35.275830,-081.041110
+36.299710,-078.606380
+35.846300,-078.840600
+35.294450,-081.000000
+35.632200,-080.541200
+34.275000,-077.915280
+35.273470,-081.051250
+35.801810,-078.713580
+34.284600,-078.157800
+35.228050,-080.606800
+34.343470,-077.891940
+35.713610,-080.974580
+35.901940,-078.773610
+41.426560,-097.362210